season,season_start_year,season_end_year,season_week_index,season_chart_slot_index,month_index,month_name,month_number,calendar_year,month_week_slot,grade,grade_points,original_grade,target_was_rain,label_date,weather_window_start,weather_window_end,avg_weather_days_observed,avg_hours_above_freezing_sum_7d,avg_hours_above_freezing_mean_7d,avg_hours_above_freezing_max_7d,avg_hours_above_freezing_label_day,avg_temperature_mean_7d,avg_temperature_min_7d,avg_temperature_max_7d,avg_temperature_label_day,avg_humidity_mean_7d,avg_humidity_min_7d,avg_humidity_max_7d,avg_humidity_label_day,avg_snow_depth_mean_7d,avg_snow_depth_min_7d,avg_snow_depth_max_7d,avg_snow_depth_label_day,avg_wind_speed_mean_7d,avg_wind_speed_min_7d,avg_wind_speed_max_7d,avg_wind_speed_label_day,avg_rain_sum_7d,avg_rain_max_7d,avg_rain_label_day,avg_snowfall_sum_7d,avg_snowfall_max_7d,avg_snowfall_label_day,best_weather_days_observed,best_hours_above_freezing_sum_7d,best_hours_above_freezing_mean_7d,best_hours_above_freezing_max_7d,best_hours_above_freezing_label_day,best_temperature_mean_7d,best_temperature_min_7d,best_temperature_max_7d,best_temperature_label_day,best_humidity_mean_7d,best_humidity_min_7d,best_humidity_max_7d,best_humidity_label_day,best_snow_depth_mean_7d,best_snow_depth_min_7d,best_snow_depth_max_7d,best_snow_depth_label_day,best_wind_speed_mean_7d,best_wind_speed_min_7d,best_wind_speed_max_7d,best_wind_speed_label_day,best_rain_sum_7d,best_rain_max_7d,best_rain_label_day,best_snowfall_sum_7d,best_snowfall_max_7d,best_snowfall_label_day,best_location_label_day,best_location_mode_7d,best_location_count_7d
2024-25,2024,2025,1,8,2,November,11,2024,3,D,0,D,False,2024-11-16,2024-11-10,2024-11-16,7,84.5,12.071428571428571,21.75,14.0,33.163244047619045,26.169791666666665,43.178125,33.446875,62.608630952380956,48.09375,85.05208333333334,58.479166666666664,0.0035357142857142857,0.0,0.00825,0.0,6.816220238095239,2.5833333333333335,12.04375,7.215625,0.28325,0.15775,0.0,0.352,0.352,0.0,7,100,14.285714285714286,24,15,35.5875,30.125,44.18333333333334,34.6625,61.36309523809524,48.5,85.54166666666667,53.666666666666664,0.014142857142857143,0.0,0.033,0.0,7.0059523809523805,1.475,12.433333333333332,8.525,0.21200000000000002,0.116,0.0,0.138,0.138,0.0,sugarbush,stowe,2
2024-25,2024,2025,2,9,2,November,11,2024,4,D,0,D,False,2024-11-23,2024-11-17,2024-11-23,7,129.5,18.5,20.75,16.25,35.89032738095238,33.121875,37.74375,33.121875,83.85119047619048,56.375,97.79166666666666,97.79166666666666,0.005431547619047614,0.0,0.0304583333333333,0.0304583333333333,6.359970238095238,2.798958333333333,10.170833333333334,8.107291666666667,0.6412499999999999,0.33575,0.1014999999999999,2.7235,1.62725,1.62725,7,161,23.0,24,24,36.795833333333334,35.81666666666667,38.079166666666666,35.92916666666667,84.89880952380952,54.041666666666664,97.95833333333331,97.95833333333331,0.010410714285714285,0.0,0.042625,0.042625,7.171428571428572,3.1916666666666664,11.320833333333333,9.2875,0.881,0.542,0.1,4.055,3.033,1.022,killington,sugarbush,2
2024-25,2024,2025,3,10,2,November,11,2024,5,D,0,D,False,2024-11-30,2024-11-24,2024-11-30,7,51.5,7.357142857142857,13.5,0.0,28.16190476190476,21.93541666666667,31.50625,21.93541666666667,84.37053571428571,78.0,91.35416666666666,85.90625,0.21474255952380952,0.08371875,0.45359375,0.45359375,8.544345238095238,5.342708333333333,13.65,8.635416666666666,0.42125,0.3485,0.0,6.08075,4.3,0.22775,7,7,1.0,7,0,23.847619047619048,19.766666666666666,29.7375,24.195833333333336,85.25,79.375,91.33333333333331,86.91666666666667,0.2918392857142858,0.124125,0.558,0.558,9.542261904761904,5.416666666666667,14.179166666666667,10.908333333333331,0.5680000000000001,0.421,0.0,3.948,1.875,0.0,killington,jay_peak,2
2024-25,2024,2025,4,11,3,December,12,2024,1,B,2,B,False,2024-12-07,2024-12-01,2024-12-07,7,1.5,0.21428571428571427,1.5,0.0,19.35327380952381,14.417708333333334,26.496875,14.417708333333334,83.77678571428571,80.44791666666666,87.35416666666667,83.20833333333334,0.5645654761904763,0.48159375,0.70009375,0.70009375,6.843154761904762,3.81875,11.847916666666666,4.8062499999999995,0.001,0.001,0.0,3.7072499999999997,1.20225,0.5395,7,0,0.0,0,0,13.582738095238097,4.575,21.40416666666667,4.575,84.51190476190474,81.25,88.0,83.25,0.64475,0.553875,0.81175,0.81175,7.603571428571428,4.325,12.3375,4.866666666666666,0.004,0.004,0.0,4.670000000000001,1.7400000000000002,0.333,jay_peak,jay_peak,2
2024-25,2024,2025,5,12,3,December,12,2024,2,D,0,D,False,2024-12-14,2024-12-08,2024-12-14,7,34.25,4.892857142857143,17.25,0.0,23.394791666666666,12.017708333333331,35.391666666666666,12.017708333333331,83.97916666666667,73.77083333333334,94.11458333333331,78.98958333333334,0.8459077380952381,0.8019479166666666,0.927,0.8399375,8.209375,3.978125,11.276041666666666,3.978125,1.23,0.85375,0.0,5.77775,1.9785,0.0,7,34,4.857142857142857,24,0,22.213690476190475,12.920833333333334,37.80416666666667,16.708333333333332,82.5297619047619,72.5,93.58333333333331,77.41666666666667,0.9747202380952381,0.9212083333333332,1.034875,0.984,6.983928571428572,2.3249999999999997,11.766666666666666,2.3249999999999997,1.213,0.795,0.0,5.683,2.674,0.0,stowe,stowe,2
2024-25,2024,2025,6,13,3,December,12,2024,3,C,1,C,False,2024-12-21,2024-12-15,2024-12-21,7,41.0,5.857142857142857,19.5,0.0,22.357589285714287,8.980208333333334,36.797916666666666,12.583333333333334,84.9672619047619,72.97916666666667,90.89583333333331,86.69791666666666,0.727482142857143,0.56978125,0.8341666666666666,0.7672395833333333,6.488095238095238,2.3531250000000004,12.448958333333334,7.383333333333333,0.217,0.205,0.002,3.5012499999999998,1.668,0.77725,7,60,8.571428571428571,24,0,24.948809523809523,10.158333333333331,40.3375,16.658333333333335,84.06547619047619,76.66666666666667,88.29166666666667,85.08333333333333,0.8832619047619047,0.711,0.984,0.929625,5.217261904761905,1.3333333333333333,8.979166666666666,6.483333333333333,0.198,0.186,0.004,3.3739999999999997,1.71,0.641,stowe,stowe,1
2024-25,2024,2025,7,14,3,December,12,2024,4,C,1,C,False,2024-12-28,2024-12-22,2024-12-28,7,8.75,1.25,7.75,7.75,10.532440476190477,-1.1760416666666669,25.927083333333336,25.927083333333336,77.00595238095238,68.63541666666667,82.94791666666666,79.25,0.980546130952381,0.80959375,1.0889375,1.0280104166666666,3.554017857142857,0.8375,7.613541666666666,3.771875,0.003,0.003,0.003,3.2615000000000003,3.1215,0.0,7,8,1.1428571428571428,8,8,12.070833333333335,-1.0166666666666666,26.108333333333334,26.108333333333334,78.32142857142857,73.41666666666667,83.20833333333333,77.125,1.2087321428571427,0.982625,1.3477499999999998,1.270375,3.092261904761905,1.1208333333333331,6.354166666666667,2.7916666666666665,0.0,0.0,0.0,3.8320000000000003,3.748,0.0,stowe,stowe,1
2024-25,2024,2025,8,16,4,January,1,2025,1,A,3,A,False,2025-01-04,2024-12-29,2025-01-04,7,76.25,10.892857142857142,23.75,0.0,28.487797619047623,10.264583333333333,42.24270833333333,10.264583333333333,85.02827380952381,74.88541666666667,94.09375,74.88541666666667,0.5430877976190477,0.1842395833333333,0.9080416666666666,0.63915625,9.862797619047617,4.988541666666666,14.603125,10.221875,0.45649999999999996,0.27175,0.0,5.102,2.06775,0.661,7,88,12.571428571428571,24,0,27.702380952380953,1.0916666666666666,44.51666666666667,1.0916666666666666,85.33928571428571,76.04166666666667,94.25,76.04166666666667,0.6772321428571428,0.2419583333333333,1.1304166666666666,0.7805,8.179166666666665,2.4583333333333335,13.845833333333331,11.329166666666666,0.629,0.415,0.0,4.72,2.233,0.997,jay_peak,stowe,2
2024-25,2024,2025,9,17,4,January,1,2025,2,A,3,A,False,2025-01-11,2025-01-05,2025-01-11,7,0.0,0.0,0.0,0.0,7.476041666666666,0.4177083333333334,13.509375,13.509375,82.66071428571429,80.10416666666666,84.79166666666666,82.16666666666667,0.7883318452380952,0.6896875,0.9092083333333332,0.86675,8.754761904761905,2.8427083333333334,13.002083333333331,2.8427083333333334,0.005,0.005,0.0,3.896,1.016,0.76125,7,0,0.0,0,0,0.5452380952380953,-3.4416666666666664,4.345833333333333,4.345833333333333,82.44047619047618,76.41666666666667,87.875,76.41666666666667,1.002892857142857,0.835125,1.207125,1.159,8.379761904761905,2.4,14.008333333333333,2.4,0.0,0.0,0.0,5.445999999999999,1.517,0.801,jay_peak,jay_peak,2
2024-25,2024,2025,10,18,4,January,1,2025,3,A,3,A,False,2025-01-18,2025-01-12,2025-01-18,7,6.25,0.8928571428571429,5.25,5.25,16.76845238095238,9.047916666666667,26.786458333333332,26.786458333333332,81.54464285714288,78.14583333333334,83.39583333333333,78.14583333333334,0.8410520833333334,0.77925,0.9009583333333332,0.8770104166666667,6.619196428571429,3.6947916666666663,9.872916666666669,9.872916666666669,0.004,0.002,0.002,2.14225,0.71325,0.325,7,7,1.0,7,7,13.964285714285714,5.075,29.241666666666664,29.241666666666664,82.70833333333334,79.70833333333333,86.29166666666667,81.16666666666667,1.1317797619047618,1.017,1.247,1.209875,6.1690476190476184,2.3916666666666666,11.3375,8.987499999999999,0.004,0.004,0.004,3.8200000000000003,1.657,0.112,stowe,jay_peak,2
